solid_SIDIS_hgc_chamber  |                root  |       solid_SIDIS_hgc_chamber  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |            Polycone  |0*deg 360*deg 2*counts 80*cm 92*cm 265*cm 265*cm 326*cm 426*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_coneout_1  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_1  |-22.1652823762757*cm 210.888632739559*cm 357.378609192601*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_1  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_1  |-22.1652823762757*cm 210.888632739559*cm 357.378609192601*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_1  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_1  |-22.1652823762757*cm 210.888632739559*cm 357.378609192601*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_1 - solid_SIDIS_hgc_conein_1  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_2  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_2  |-65.5271292625653*cm 201.671789034033*cm 357.378609192601*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_2  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_2  |-65.5271292625653*cm 201.671789034033*cm 357.378609192601*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_2  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_2  |-65.5271292625653*cm 201.671789034033*cm 357.378609192601*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_2 - solid_SIDIS_hgc_conein_2  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_3  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_3  |-106.025126263375*cm 183.640920718711*cm 357.378609192601*cm  |      ordered: zxy -120*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_3  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_3  |-106.025126263375*cm 183.640920718711*cm 357.378609192601*cm  |      ordered: zxy -120*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_3  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_3  |-106.025126263375*cm 183.640920718711*cm 357.378609192601*cm  |      ordered: zxy -120*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_3 - solid_SIDIS_hgc_conein_3  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_4  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_4  |-141.889316638983*cm 157.584063233891*cm 357.378609192601*cm  |      ordered: zxy -132*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_4  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_4  |-141.889316638983*cm 157.584063233891*cm 357.378609192601*cm  |      ordered: zxy -132*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_4  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_4  |-141.889316638983*cm 157.584063233891*cm 357.378609192601*cm  |      ordered: zxy -132*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_4 - solid_SIDIS_hgc_conein_4  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_5  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_5  |-171.552263227776*cm 124.640026247624*cm 357.378609192601*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_5  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_5  |-171.552263227776*cm 124.640026247624*cm 357.378609192601*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_5  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_5  |-171.552263227776*cm 124.640026247624*cm 357.378609192601*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_5 - solid_SIDIS_hgc_conein_5  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_6  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_6  |-193.717552969281*cm 86.248622210297*cm 357.378609192601*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_6  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_6  |-193.717552969281*cm 86.248622210297*cm 357.378609192601*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_6  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_6  |-193.717552969281*cm 86.248622210297*cm 357.378609192601*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_6 - solid_SIDIS_hgc_conein_6  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_7  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_7  |-207.416456373861*cm 44.0877396437035*cm 357.378609192601*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_7  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_7  |-207.416456373861*cm 44.0877396437035*cm 357.378609192601*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_7  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_7  |-207.416456373861*cm 44.0877396437035*cm 357.378609192601*cm  |      ordered: zxy -168*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_7 - solid_SIDIS_hgc_conein_7  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_8  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_8  |-212.050265648455*cm 1.13637298777564e-05*cm 357.378609192601*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_8  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_8  |-212.050265648455*cm 1.13637298777564e-05*cm 357.378609192601*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_8  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_8  |-212.050265648455*cm 1.13637298777564e-05*cm 357.378609192601*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_8 - solid_SIDIS_hgc_conein_8  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
solid_SIDIS_hgc_coneout_9  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_9  |-207.416461099165*cm -44.0877174128933*cm 357.378609192601*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                 10.73*cm 21.92*cm 10.73*cm 16.57*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_9  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_9  |-207.416461099165*cm -44.0877174128933*cm 357.378609192601*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    10.16*cm 21.92*cm 10.16*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_9  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_9  |-207.416461099165*cm -44.0877174128933*cm 357.378609192601*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_9 - solid_SIDIS_hgc_conein_9  |                                                           0  |      G4_GLASS_PLATE  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                                      no 
